0,a,c,b,e,d,g,f,i,h,k,j,m,l,o,n,q,p,s,r,u,t,w,v,y,x,z
a,43,38,21,13,26,20,39,15,24,29,46,25,14,38,,,,,,,,,,,,
c,15,37,45,34,24,5,22,,,,,,,,,,,,,,,,,,,
b,31,12,46,50,41,46,,,,,,,,,,,,,,,,,,,,
e,13,41,27,0,36,20,42,34,0,,,,,,,,,,,,,,,,,
d,31,46,49,24,44,,,,,,,,,,,,,,,,,,,,,
g,9,28,12,49,40,,,,,,,,,,,,,,,,,,,,,
f,25,44,12,16,44,,,,,,,,,,,,,,,,,,,,,
i,5,28,36,27,41,,,,,,,,,,,,,,,,,,,,,
h,22,4,16,25,47,,,,,,,,,,,,,,,,,,,,,
k,29,14,9,9,,,,,,,,,,,,,,,,,,,,,,
j,27,49,30,29,22,30,19,,,,,,,,,,,,,,,,,,,
m,42,45,47,27,19,35,,,,,,,,,,,,,,,,,,,,
l,31,33,24,4,38,44,47,,,,,,,,,,,,,,,,,,,
o,45,30,48,29,22,33,50,46,40,4,31,,,,,,,,,,,,,,,
n,14,41,43,,,,,,,,,,,,,,,,,,,,,,,
q,35,2,29,46,27,34,,,,,,,,,,,,,,,,,,,,
p,24,32,43,12,37,5,11,40,16,41,5,7,,,,,,,,,,,,,,
s,10,40,47,1,21,5,13,11,,,,,,,,,,,,,,,,,,
r,1,32,30,29,19,18,50,1,1,49,9,6,,,,,,,,,,,,,,
u,42,46,8,34,49,,,,,,,,,,,,,,,,,,,,,
t,32,17,9,25,2,5,50,10,18,37,,,,,,,,,,,,,,,,
w,30,22,8,24,,,,,,,,,,,,,,,,,,,,,,
v,2,34,43,17,12,,,,,,,,,,,,,,,,,,,,,
y,0,37,17,2,14,12,,,,,,,,,,,,,,,,,,,,
x,20,29,25,15,18,42,12,28,,,,,,,,,,,,,,,,,,
z,48,17,14,18,,,,,,,,,,,,,,,,,,,,,,
