0,aa,ac,ab,ae,ad,ag,af,ai,ah,ak,aj,am,al,ao,an,aq,ap,as,ar,au,at,aw,av,ay,ax,az,bd,be,bf,bg,ba,bb,bc,bl,bm,bn,bo,bh,bi,bj,bk,bt,bu,bv,bw,bp,bq,br,bs,bx
aa,85,76,42,26,51,40,79,30,48,58,91,50,28,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac,31,73,90,69,47,10,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab,62,25,91,99,81,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ae,26,81,55,1,72,40,83,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad,61,92,97,48,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ag,19,57,24,97,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
af,49,87,24,32,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai,11,55,71,55,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ah,45,8,32,51,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ak,58,29,19,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj,54,97,60,59,44,60,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
am,85,90,93,54,39,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
al,61,66,48,9,76,88,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ao,90,59,95,58,45,66,100,92,80,8,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
an,27,81,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aq,70,4,57,91,53,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap,49,63,85,24,73,11,22,80,33,82,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
as,21,80,94,2,42,10,26,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ar,2,64,61,58,39,37,99,3,2,97,18,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au,84,92,17,67,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at,65,35,18,50,3,10,99,20,36,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aw,60,44,17,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
av,5,68,85,34,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ay,1,74,33,4,28,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ax,41,57,51,31,36,84,25,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
az,96,35,29,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd,15,53,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be,56,76,89,49,31,47,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bf,88,82,18,100,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bg,8,73,99,40,68,31,21,72,0,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba,95,64,62,72,39,41,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb,19,33,24,64,38,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc,57,41,40,70,42,66,4,44,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bl,4,75,70,66,71,91,64,37,54,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bm,59,0,15,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bn,79,72,34,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bo,4,16,99,29,39,55,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bh,53,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bi,12,65,88,28,98,10,86,40,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bj,27,45,80,86,13,52,65,35,88,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bk,1,4,68,56,95,94,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bt,63,37,98,64,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bu,75,6,0,39,52,45,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bv,59,68,42,37,99,26,78,43,36,6,87,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bw,91,45,68,12,40,20,4,95,21,14,19,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bp,48,24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bq,18,52,7,40,33,41,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
br,91,47,84,98,34,48,70,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bs,30,74,90,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bx,55,15,99,99,14,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
